"","COST FUNCTION(J)","1","2","3","4"
"1",8.83262445800687,0.602782940676683,1.78860720156157,2.78144400781076,3.87391017704386
"2",6.37989634500305,0.269355514762781,1.61070022868738,2.59511076415363,3.76576196781602
"3",4.63573301477431,-0.0103072134622035,1.46101595558758,2.43595886722708,3.67274678782291
"4",3.39510508339081,-0.24465602247456,1.33511772531898,2.29973835844973,3.59249700104691
"5",2.51231474898881,-0.440814705603465,1.22926557832194,2.18286645251122,3.52301668327281
"6",1.88382629911964,-0.604788432549871,1.14030685747473,2.08232278008576,3.46262325684542
"7",1.43606516149962,-0.741639394303409,1.06558399017688,1.99556107936065,3.40989828984318
"8",1.1167476907477,-0.855634868566876,1.00285675035098,1.92043475361273,3.3636460206857
"9",0.888719959394364,-0.950372036177051,0.950236726748863,1.8551341176078,3.32285839513957
"10",0.725579492292912,-1.02888319904397,0.90613208094746,1.79813349746224,3.286685593156
"11",0.608563992567169,-1.09372447693153,0.869200979363079,1.74814663679189,3.25441118353545
"12",0.524340414452811,-1.14705057720597,0.838312337303484,1.70408910490796,3.22543117976517
"13",0.463433838778207,-1.19067782435286,0.8125127269329,1.66504660760966,3.19923638447358
"14",0.419111003668259,-1.22613729269555,0.790998481301967,1.63024827375708,3.17539750612812
"15",0.386586921398934,-1.25471959629476,0.773092178564624,1.59904413633515,3.15355261268314
"16",0.362461086061658,-1.27751264600574,0.758222818611768,1.57088614939652,3.13339655523378
"17",0.344316832572789,-1.29543347797896,0.74590911234416,1.545312185685,3.11467205234843
"18",0.330436633953742,-1.30925508449684,0.735745394842778,1.52193254691811,3.09716217432283
"19",0.319599786424908,-1.31962903187208,0.727389750436307,1.50041859219478,3.08068400754211
"20",0.31093864075745,-1.32710452691655,0.720554002357099,1.4804931519438,3.06508331365237
"21",0.303836437645998,-1.33214448962052,0.714995274210792,1.46192244705008,3.05023002733807
"22",0.297854707645038,-1.33513910212259,0.71050887645582,1.44450927681833,3.03601446102897
"23",0.292681680214902,-1.33641723023911,0.706922309841795,1.42808727654321,3.02234410553546
"24",0.288095622218327,-1.3362560516005,0.704090210423587,1.41251607673811,3.00914093304066
"25",0.283938785552928,-1.3348891719903,0.701890088306301,1.39767722244579,2.99633912357002
"26",0.280098893826534,-1.33251346726691,0.700218735490742,1.38347073328378,2.98388314844468
"27",0.276495986412233,-1.32929485097522,0.698989197758196,1.36981220361772,2.97172615466552
"28",0.273073069554174,-1.32537313633444,0.698128222029924,1.35663035805247,2.95982860297635
"29",0.269789472832592,-1.32086613480189,0.697574104543031,1.34386499074798,2.94815711977384
